day,month,Year,us contributors,us species reported
5,8,2016,3543,7210
6,8,2016,4473,7876
7,8,2016,4573,7808
8,8,2016,3474,7016
9,8,2016,3337,7145
10,8,2016,3292,6896
11,8,2016,3138,6888
12,8,2016,3407,7164
13,8,2016,4359,7897
14,8,2016,4171,7738
15,8,2016,3407,7078
16,8,2016,3275,6975
17,8,2016,3441,7103
18,8,2016,3493,7098
19,8,2016,3765,7419
20,8,2016,4764,8073
21,8,2016,4721,8062
22,8,2016,3711,7300
23,8,2016,3911,7412
24,8,2016,3686,7395
25,8,2016,3824,7492
26,8,2016,3949,7759
27,8,2016,5258,8680
28,8,2016,4950,8460
29,8,2016,3494,7337
30,8,2016,3620,7356
31,8,2016,3565,7217
1,9,2016,3885,7446
2,9,2016,4505,7980
3,9,2016,5993,8845
4,9,2016,5765,8743
5,9,2016,5630,8572
6,9,2016,3774,7492
7,9,2016,3952,7621
8,9,2016,3884,7675
9,9,2016,4186,7959
10,9,2016,5678,8736
11,9,2016,5572,8572
12,9,2016,4205,7660
13,9,2016,4072,7598
14,9,2016,4178,7668
15,9,2016,4541,7722
16,9,2016,4490,7869
17,9,2016,5847,8521
18,9,2016,5425,8128
19,9,2016,3553,6992
20,9,2016,4131,7481
21,9,2016,4091,7522
22,9,2016,4043,7210
23,9,2016,4221,7549
24,9,2016,6029,8385
25,9,2016,5803,8230
26,9,2016,4036,7420
27,9,2016,4160,7368
28,9,2016,4211,7263
29,9,2016,3939,7118
30,9,2016,4169,7441
1,10,2016,5730,8000
2,10,2016,5866,7953
3,10,2016,4369,7099
4,10,2016,4273,6842
5,10,2016,4341,6921
6,10,2016,4135,6906
7,10,2016,4322,7161
8,10,2016,5661,7782
9,10,2016,5200,7498
10,10,2016,4653,7068
11,10,2016,4210,6841
12,10,2016,4063,6685
13,10,2016,3947,6654
14,10,2016,4169,6800
15,10,2016,5610,7424
16,10,2016,5231,7252
17,10,2016,3661,6370
18,10,2016,3911,6442
19,10,2016,4120,6704
20,10,2016,3751,6534
21,10,2016,3913,6568
22,10,2016,5323,7388
23,10,2016,5434,7027
24,10,2016,3681,6261
25,10,2016,3784,6240
26,10,2016,3592,6207
27,10,2016,3363,6162
28,10,2016,3823,6341
29,10,2016,5441,7075
30,10,2016,4929,6835
31,10,2016,3549,5959
1,11,2016,3911,6202
2,11,2016,3923,6171
3,11,2016,3741,6143
4,11,2016,4328,6450
5,11,2016,5798,7055
6,11,2016,5431,6838
7,11,2016,3603,5923
8,11,2016,3520,5853
9,11,2016,3143,5740
10,11,2016,3588,6003
11,11,2016,4266,6438
12,11,2016,5552,6841
13,11,2016,5174,6598
14,11,2016,3415,5856
15,11,2016,3306,5761
16,11,2016,3452,5759
17,11,2016,3387,5706
18,11,2016,3696,5704
19,11,2016,5160,6559
20,11,2016,4449,6199
21,11,2016,3217,5619
22,11,2016,3400,5644
23,11,2016,3820,5757
24,11,2016,4042,5885
25,11,2016,5010,6419
26,11,2016,5023,6534
27,11,2016,4697,6105
28,11,2016,2937,5141
29,11,2016,2880,5161
30,11,2016,2792,5241
1,12,2016,3357,5645
2,12,2016,3497,5665
3,12,2016,5091,6278
4,12,2016,4697,6224
5,12,2016,3089,5407
6,12,2016,3116,5222
7,12,2016,3502,5494
8,12,2016,3156,5299
9,12,2016,3432,5421
10,12,2016,4932,6299
11,12,2016,4722,6177
12,12,2016,3196,5367
13,12,2016,3345,5339
14,12,2016,3624,5679
15,12,2016,3267,5378
16,12,2016,3614,5502
17,12,2016,5922,6533
18,12,2016,4982,6271
19,12,2016,3430,5498
20,12,2016,3781,5718
21,12,2016,3936,5866
22,12,2016,3849,5660
23,12,2016,4314,5919
24,12,2016,4146,5588
25,12,2016,4161,5208
26,12,2016,5326,6155
27,12,2016,4872,6118
28,12,2016,5113,6320
29,12,2016,4456,6025
30,12,2016,4963,6192
31,12,2016,5987,6519
1,1,2017,10155,7315
2,1,2017,8491,6840
3,1,2017,5923,6211
4,1,2017,6281,6459
5,1,2017,6286,6178
6,1,2017,6188,6125
7,1,2017,7453,6426
8,1,2017,6883,6385
9,1,2017,5516,5980
10,1,2017,5148,5770
11,1,2017,5629,5939
12,1,2017,5546,5967
13,1,2017,6059,6050
14,1,2017,7999,6733
15,1,2017,7768,6618
16,1,2017,6552,6341
17,1,2017,5062,5812
18,1,2017,4966,5799
19,1,2017,5432,5797
20,1,2017,5190,5911
21,1,2017,7502,6638
22,1,2017,6355,6214
23,1,2017,4507,5353
24,1,2017,5037,5560
25,1,2017,5388,5800
26,1,2017,5093,5614
27,1,2017,5620,5888
28,1,2017,7786,6702
29,1,2017,7339,6555
30,1,2017,5003,5810
31,1,2017,5133,5887
1,2,2017,5290,5843
2,2,2017,4901,5753
3,2,2017,5226,5841
4,2,2017,7409,6618
5,2,2017,7015,6508
6,2,2017,4841,5635
7,2,2017,4363,5268
8,2,2017,5046,5767
9,2,2017,4533,5189
10,2,2017,5108,5791
11,2,2017,7821,6657
12,2,2017,6587,6231
13,2,2017,4802,5603
14,2,2017,5054,5743
15,2,2017,4865,5699
16,2,2017,5183,5774
17,2,2017,18171,6798
18,2,2017,23205,7244
19,2,2017,22412,7223
20,2,2017,16482,6761
21,2,2017,5572,5868
22,2,2017,5776,6021
23,2,2017,5922,5943
24,2,2017,6127,6078
25,2,2017,7731,6694
26,2,2017,7210,6576
27,2,2017,5205,5851
28,2,2017,5268,5862
1,3,2017,5052,5733
2,3,2017,5028,5880
3,3,2017,5411,6163
4,3,2017,7340,6711
5,3,2017,7124,6662
6,3,2017,5077,5972
7,3,2017,4994,5862
8,3,2017,5628,6181
9,3,2017,5906,6268
10,3,2017,5842,6232
11,3,2017,7409,6870
12,3,2017,7053,6610
13,3,2017,5222,6192
14,3,2017,5341,5849
15,3,2017,5442,6077
16,3,2017,5732,6318
17,3,2017,6087,6608
18,3,2017,7649,7157
19,3,2017,7731,7177
20,3,2017,5828,6653
21,3,2017,5944,6750
22,3,2017,5527,6534
23,3,2017,5707,6636
24,3,2017,6398,6888
25,3,2017,8627,7609
26,3,2017,7757,7482
27,3,2017,6310,7037
28,3,2017,6251,7024
29,3,2017,6612,6974
30,3,2017,6117,7025
31,3,2017,5809,6976
1,4,2017,8761,7796
2,4,2017,8955,7879
3,4,2017,6775,7390
4,4,2017,6627,7349
5,4,2017,7089,7432
6,4,2017,6007,7283
7,4,2017,6942,7761
8,4,2017,9667,8453
9,4,2017,9960,8423
10,4,2017,7511,7876
11,4,2017,7615,8007
12,4,2017,7546,7963
13,4,2017,7418,8103
14,4,2017,8579,8567
15,4,2017,10276,9025
16,4,2017,9031,8882
17,4,2017,7588,8358
18,4,2017,7570,8509
19,4,2017,7217,8482
20,4,2017,7486,8708
21,4,2017,7837,8783
22,4,2017,9560,9480
23,4,2017,10081,9553
24,4,2017,7313,8792
25,4,2017,6971,8833
26,4,2017,7596,8956
27,4,2017,7982,9444
28,4,2017,8910,9645
29,4,2017,10265,10014
30,4,2017,10207,9928
1,5,2017,7847,9429
2,5,2017,8140,9734
3,5,2017,8619,9718
4,5,2017,8290,9734
5,5,2017,7765,9772
6,5,2017,10962,10645
7,5,2017,10641,10500
8,5,2017,8209,9758
9,5,2017,8516,9852
10,5,2017,8953,9848
11,5,2017,8226,9806
12,5,2017,8741,10137
13,5,2017,12978,11336
14,5,2017,9360,10120
15,5,2017,7681,9847
16,5,2017,8156,9761
17,5,2017,7869,9567
18,5,2017,7587,9621
19,5,2017,7616,9833
20,5,2017,9382,10200
21,5,2017,8906,10130
22,5,2017,6375,9396
23,5,2017,6652,9497
24,5,2017,6486,9357
25,5,2017,5746,9074
26,5,2017,6967,9384
27,5,2017,8799,10074
28,5,2017,8148,9686
29,5,2017,7344,9446
30,5,2017,5595,8936
31,5,2017,5754,8829
1,6,2017,6279,8961
2,6,2017,6279,8768
3,6,2017,7689,9214
4,6,2017,7243,8952
5,6,2017,5234,8217
6,6,2017,5264,8213
7,6,2017,5735,8369
8,6,2017,5613,8318
9,6,2017,5719,8270
10,6,2017,7169,8780
11,6,2017,6452,8445
12,6,2017,4978,7945
13,6,2017,4981,7852
14,6,2017,5303,8093
15,6,2017,5154,7965
16,6,2017,5154,8065
17,6,2017,6474,8575
18,6,2017,6041,8291
19,6,2017,4728,7749
20,6,2017,4939,7760
21,6,2017,5110,7753
22,6,2017,4821,7912
23,6,2017,4775,7911
24,6,2017,6028,8399
25,6,2017,6180,8364
26,6,2017,4739,7858
27,6,2017,4739,7637
28,6,2017,4711,7556
29,6,2017,4484,7671
30,6,2017,4587,7723
1,7,2017,5818,8313
2,7,2017,5865,8290
3,7,2017,5266,8055
4,7,2017,5532,8147
5,7,2017,4335,7439
6,7,2017,4207,7446
7,7,2017,4294,7517
8,7,2017,5741,8178
9,7,2017,5646,8212
10,7,2017,4201,7647
11,7,2017,4249,7642
12,7,2017,4158,7571
13,7,2017,4101,7708
14,7,2017,4445,7660
15,7,2017,5700,8326
16,7,2017,5497,8158
17,7,2017,4365,7555
18,7,2017,4272,7573
19,7,2017,4298,7599
20,7,2017,4214,7599
21,7,2017,4375,7673
22,7,2017,5227,8145
23,7,2017,5198,8136
24,7,2017,3948,7276
25,7,2017,4146,7496
26,7,2017,4300,7630
27,7,2017,4069,7457
28,7,2017,4349,7700
29,7,2017,5384,8167
30,7,2017,5621,8238
31,7,2017,4203,7546
1,8,2017,4555,7586
2,8,2017,4543,7542
3,8,2017,4415,7324
4,8,2017,4512,7754
5,8,2017,5661,8161
6,8,2017,5680,8280
7,8,2017,4120,7353
8,8,2017,4511,7662
9,8,2017,4506,7771
10,8,2017,4513,7639
11,8,2017,4851,7945
12,8,2017,5732,8490
13,8,2017,5632,8305
14,8,2017,4381,7575
15,8,2017,4287,7612
16,8,2017,4385,7643
17,8,2017,4379,7708
18,8,2017,4435,7788
19,8,2017,5831,8597
20,8,2017,6066,8499
21,8,2017,5271,7735
22,8,2017,4340,7690
23,8,2017,4600,8048
24,8,2017,4799,8224
25,8,2017,5092,8232
26,8,2017,6245,8913
27,8,2017,5999,8721
28,8,2017,4496,7907
29,8,2017,4382,7858
30,8,2017,4748,8039
31,8,2017,4905,7997
1,9,2017,5157,8321
2,9,2017,6360,9153
3,9,2017,6273,9089
4,9,2017,6652,9215
5,9,2017,4501,7956
6,9,2017,4395,7985
7,9,2017,4842,8201
8,9,2017,5084,8365
9,9,2017,6770,9163
10,9,2017,6343,8765
11,9,2017,4781,7904
12,9,2017,4980,8098
13,9,2017,4904,8149
14,9,2017,4789,8056
15,9,2017,5115,8112
16,9,2017,6885,9031
17,9,2017,6506,8904
18,9,2017,4673,7867
19,9,2017,4418,7555
20,9,2017,4652,7744
21,9,2017,4700,7797
22,9,2017,4960,7923
23,9,2017,6681,8805
24,9,2017,6142,8470
25,9,2017,4572,7712
26,9,2017,4508,7694
27,9,2017,4685,7633
28,9,2017,4766,7755
29,9,2017,5356,8287
30,9,2017,6756,8735
1,10,2017,6710,8544
2,10,2017,4647,7407
3,10,2017,4729,7469
4,10,2017,4816,7406
5,10,2017,4806,7533
6,10,2017,4998,7677
7,10,2017,6498,8308
8,10,2017,6051,7996
9,10,2017,4482,7076
10,10,2017,4772,7225
11,10,2017,4509,7214
12,10,2017,4498,7185
13,10,2017,5033,7453
14,10,2017,6290,7914
15,10,2017,6082,7807
16,10,2017,4686,6975
17,10,2017,4914,7106
18,10,2017,4843,6895
19,10,2017,4699,6886
20,10,2017,5044,6961
21,10,2017,6477,7491
22,10,2017,6213,7349
23,10,2017,4028,6352
24,10,2017,3939,6128
25,10,2017,4392,6560
26,10,2017,4367,6473
27,10,2017,4771,6782
28,10,2017,6333,7515
29,10,2017,5202,6988
30,10,2017,3902,6259
31,10,2017,4361,6530
1,11,2017,4482,6693
2,11,2017,4558,6642
3,11,2017,4840,6749
4,11,2017,6432,7477
5,11,2017,5801,7287
6,11,2017,4377,6526
7,11,2017,4503,6488
8,11,2017,4717,6540
9,11,2017,4603,6482
10,11,2017,5163,6733
11,11,2017,6685,7311
12,11,2017,6220,7275
13,11,2017,3890,6195
14,11,2017,4296,6321
15,11,2017,4107,6184
16,11,2017,3964,6150
17,11,2017,4473,6131
18,11,2017,6184,7005
19,11,2017,5833,6866
20,11,2017,4513,6374
21,11,2017,4500,6281
22,11,2017,4883,6289
23,11,2017,5192,6522
24,11,2017,6445,6930
25,11,2017,6625,7020
26,11,2017,5978,6735
27,11,2017,4246,6050
28,11,2017,4080,6059
29,11,2017,4367,6130
30,11,2017,4223,6089
1,12,2017,4590,6170
2,12,2017,6458,6934
3,12,2017,6164,6769
4,12,2017,3985,5675
5,12,2017,3632,5514
6,12,2017,3793,5525
7,12,2017,3879,5663
8,12,2017,4185,5812
9,12,2017,5495,6445
10,12,2017,5491,6486
11,12,2017,4011,5706
12,12,2017,3961,5564
13,12,2017,3902,5623
14,12,2017,4525,6094
15,12,2017,4401,6119
16,12,2017,7518,7396
17,12,2017,6564,6959
18,12,2017,4374,6134
19,12,2017,4261,5972
20,12,2017,4349,5768
21,12,2017,4525,5967
22,12,2017,4721,6012
23,12,2017,5598,6249
24,12,2017,5459,6121
25,12,2017,4961,5441
26,12,2017,5466,6128
27,12,2017,5657,6174
28,12,2017,5500,6199
29,12,2017,5767,6374
30,12,2017,7331,6874
31,12,2017,6409,6353
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
