,day,month,numChecklists,numContributors,numSpecies,state,Year
224,12,8,72,56,166,AK,2016
225,13,8,74,54,148,AK,2016
226,14,8,60,55,171,AK,2016
227,15,8,58,44,150,AK,2016
228,16,8,77,54,161,AK,2016
229,17,8,51,53,155,AK,2016
230,18,8,47,46,172,AK,2016
231,19,8,49,53,150,AK,2016
232,20,8,70,54,156,AK,2016
233,21,8,57,50,165,AK,2016
234,22,8,45,35,166,AK,2016
235,23,8,44,40,152,AK,2016
236,24,8,41,35,163,AK,2016
237,25,8,48,41,158,AK,2016
238,26,8,65,51,161,AK,2016
239,27,8,85,57,177,AK,2016
240,28,8,59,53,169,AK,2016
241,29,8,42,55,161,AK,2016
242,30,8,53,38,147,AK,2016
243,31,8,53,45,145,AK,2016
244,1,9,46,49,151,AK,2016
245,2,9,68,57,158,AK,2016
246,3,9,86,52,157,AK,2016
247,4,9,83,66,160,AK,2016
248,5,9,80,57,157,AK,2016
249,6,9,50,49,133,AK,2016
250,7,9,64,56,129,AK,2016
251,8,9,55,57,137,AK,2016
252,9,9,62,48,142,AK,2016
253,10,9,91,65,150,AK,2016
254,11,9,63,54,141,AK,2016
255,12,9,61,43,144,AK,2016
256,13,9,55,46,161,AK,2016
257,14,9,57,49,143,AK,2016
258,15,9,45,40,131,AK,2016
259,16,9,49,48,144,AK,2016
260,17,9,58,44,159,AK,2016
261,18,9,72,66,164,AK,2016
262,19,9,40,39,134,AK,2016
263,20,9,37,36,125,AK,2016
264,21,9,43,42,138,AK,2016
265,22,9,24,26,109,AK,2016
266,23,9,29,31,136,AK,2016
267,24,9,36,37,148,AK,2016
268,25,9,47,44,145,AK,2016
269,26,9,42,39,124,AK,2016
270,27,9,32,31,125,AK,2016
271,28,9,36,35,136,AK,2016
272,29,9,33,35,121,AK,2016
273,30,9,34,29,107,AK,2016
274,1,10,47,42,127,AK,2016
275,2,10,51,41,134,AK,2016
276,3,10,36,32,114,AK,2016
277,4,10,36,26,121,AK,2016
278,5,10,27,31,110,AK,2016
279,6,10,25,23,99,AK,2016
280,7,10,37,29,111,AK,2016
281,8,10,38,32,122,AK,2016
282,9,10,27,23,121,AK,2016
283,10,10,23,23,107,AK,2016
284,11,10,21,16,87,AK,2016
285,12,10,20,20,68,AK,2016
286,13,10,30,27,77,AK,2016
287,14,10,31,27,86,AK,2016
288,15,10,47,34,108,AK,2016
289,16,10,39,25,79,AK,2016
290,17,10,28,26,67,AK,2016
291,18,10,15,24,68,AK,2016
292,19,10,29,30,86,AK,2016
293,20,10,25,28,109,AK,2016
294,21,10,18,25,118,AK,2016
295,22,10,24,27,121,AK,2016
296,23,10,17,22,99,AK,2016
297,24,10,29,23,101,AK,2016
298,25,10,24,23,107,AK,2016
299,26,10,23,25,110,AK,2016
300,27,10,42,21,106,AK,2016
301,28,10,14,17,93,AK,2016
302,29,10,23,22,87,AK,2016
303,30,10,29,21,82,AK,2016
304,31,10,33,24,60,AK,2016
305,1,11,20,22,73,AK,2016
306,2,11,13,14,77,AK,2016
307,3,11,35,20,81,AK,2016
308,4,11,16,16,52,AK,2016
309,5,11,30,27,80,AK,2016
310,6,11,40,28,92,AK,2016
311,7,11,19,22,84,AK,2016
312,8,11,7,12,51,AK,2016
313,9,11,9,15,65,AK,2016
314,10,11,13,14,71,AK,2016
315,11,11,21,22,90,AK,2016
316,12,11,26,25,89,AK,2016
317,13,11,34,31,79,AK,2016
318,14,11,13,16,79,AK,2016
319,15,11,20,20,59,AK,2016
320,16,11,23,19,73,AK,2016
321,17,11,13,20,67,AK,2016
322,18,11,16,23,67,AK,2016
323,19,11,26,25,80,AK,2016
324,20,11,19,23,83,AK,2016
325,21,11,17,18,61,AK,2016
326,22,11,12,12,40,AK,2016
327,23,11,12,14,45,AK,2016
328,24,11,20,18,68,AK,2016
329,25,11,21,15,51,AK,2016
330,26,11,22,22,80,AK,2016
331,27,11,18,19,61,AK,2016
332,28,11,6,15,27,AK,2016
333,29,11,17,18,45,AK,2016
334,30,11,11,18,59,AK,2016
335,1,12,15,15,55,AK,2016
336,2,12,9,13,34,AK,2016
337,3,12,19,19,49,AK,2016
338,4,12,34,16,73,AK,2016
339,5,12,31,22,83,AK,2016
340,6,12,18,15,56,AK,2016
341,7,12,21,15,62,AK,2016
342,8,12,14,13,45,AK,2016
343,9,12,17,17,45,AK,2016
344,10,12,31,23,74,AK,2016
345,11,12,21,21,69,AK,2016
346,12,12,14,18,38,AK,2016
347,13,12,6,18,50,AK,2016
348,14,12,16,12,62,AK,2016
349,15,12,15,21,67,AK,2016
350,16,12,20,18,59,AK,2016
351,17,12,61,40,96,AK,2016
352,18,12,35,29,75,AK,2016
353,19,12,10,10,23,AK,2016
354,20,12,15,14,27,AK,2016
355,21,12,9,9,33,AK,2016
356,22,12,14,15,53,AK,2016
357,23,12,11,16,39,AK,2016
358,24,12,16,17,47,AK,2016
359,25,12,12,13,32,AK,2016
360,26,12,28,19,70,AK,2016
361,27,12,22,17,44,AK,2016
362,28,12,10,10,40,AK,2016
363,29,12,30,19,71,AK,2016
364,30,12,19,18,75,AK,2016
365,31,12,36,24,85,AK,2016
0,1,1,55,46,70,AK,2017
1,2,1,54,40,75,AK,2017
2,3,1,34,28,62,AK,2017
3,4,1,34,34,88,AK,2017
4,5,1,36,25,75,AK,2017
5,6,1,23,24,69,AK,2017
6,7,1,49,33,75,AK,2017
7,8,1,34,33,84,AK,2017
8,9,1,31,27,89,AK,2017
9,10,1,21,22,70,AK,2017
10,11,1,29,22,73,AK,2017
11,12,1,42,30,65,AK,2017
12,13,1,23,18,40,AK,2017
13,14,1,31,35,67,AK,2017
14,15,1,37,30,66,AK,2017
15,16,1,19,16,54,AK,2017
16,17,1,32,27,73,AK,2017
17,18,1,24,26,80,AK,2017
18,19,1,21,24,59,AK,2017
19,20,1,23,22,66,AK,2017
20,21,1,33,26,75,AK,2017
21,22,1,36,32,75,AK,2017
22,23,1,24,23,63,AK,2017
23,24,1,16,18,55,AK,2017
24,25,1,14,14,57,AK,2017
25,26,1,18,18,52,AK,2017
26,27,1,29,25,63,AK,2017
27,28,1,27,26,60,AK,2017
28,29,1,32,30,77,AK,2017
29,30,1,18,18,63,AK,2017
30,31,1,35,30,72,AK,2017
31,1,2,29,27,84,AK,2017
32,2,2,18,19,65,AK,2017
33,3,2,20,16,63,AK,2017
34,4,2,45,29,75,AK,2017
35,5,2,28,30,79,AK,2017
36,6,2,16,16,52,AK,2017
37,7,2,21,18,45,AK,2017
38,8,2,39,28,81,AK,2017
39,9,2,21,22,58,AK,2017
40,10,2,14,16,50,AK,2017
41,11,2,37,26,64,AK,2017
42,12,2,42,35,62,AK,2017
43,13,2,16,13,48,AK,2017
44,14,2,19,20,50,AK,2017
45,15,2,24,23,57,AK,2017
46,16,2,16,16,47,AK,2017
47,17,2,107,75,86,AK,2017
48,18,2,93,69,80,AK,2017
49,19,2,81,68,80,AK,2017
50,20,2,75,67,78,AK,2017
51,21,2,24,21,64,AK,2017
52,22,2,31,26,59,AK,2017
53,23,2,15,17,62,AK,2017
54,24,2,37,25,71,AK,2017
55,25,2,45,35,72,AK,2017
56,26,2,32,31,84,AK,2017
57,27,2,15,18,51,AK,2017
58,28,2,21,26,49,AK,2017
59,1,3,19,21,47,AK,2017
60,2,3,23,20,51,AK,2017
61,3,3,31,24,61,AK,2017
62,4,3,31,29,59,AK,2017
63,5,3,36,41,63,AK,2017
64,6,3,34,33,67,AK,2017
65,7,3,24,24,46,AK,2017
66,8,3,26,29,60,AK,2017
67,9,3,56,39,72,AK,2017
68,10,3,39,32,73,AK,2017
69,11,3,55,37,83,AK,2017
70,12,3,44,36,66,AK,2017
71,13,3,43,28,69,AK,2017
72,14,3,19,20,48,AK,2017
73,15,3,23,26,63,AK,2017
74,16,3,32,21,56,AK,2017
75,17,3,24,28,68,AK,2017
76,18,3,38,33,63,AK,2017
77,19,3,34,36,76,AK,2017
78,20,3,27,27,70,AK,2017
79,21,3,28,32,75,AK,2017
80,22,3,37,38,70,AK,2017
81,23,3,38,32,92,AK,2017
82,24,3,47,45,94,AK,2017
83,25,3,84,54,93,AK,2017
84,26,3,63,53,96,AK,2017
85,27,3,42,42,90,AK,2017
86,28,3,44,39,87,AK,2017
87,29,3,30,33,81,AK,2017
88,30,3,40,37,86,AK,2017
89,31,3,22,28,57,AK,2017
90,1,4,49,46,89,AK,2017
91,2,4,44,42,82,AK,2017
92,3,4,35,39,85,AK,2017
93,4,4,45,46,94,AK,2017
94,5,4,44,50,84,AK,2017
95,6,4,65,47,103,AK,2017
96,7,4,60,50,106,AK,2017
97,8,4,72,55,105,AK,2017
98,9,4,67,59,117,AK,2017
99,10,4,50,49,97,AK,2017
100,11,4,61,47,87,AK,2017
101,12,4,48,45,83,AK,2017
102,13,4,61,50,95,AK,2017
103,14,4,67,59,103,AK,2017
104,15,4,116,86,113,AK,2017
105,16,4,92,67,118,AK,2017
106,17,4,60,58,103,AK,2017
107,18,4,74,60,104,AK,2017
108,19,4,72,58,113,AK,2017
109,20,4,69,64,114,AK,2017
110,21,4,49,59,106,AK,2017
111,22,4,116,70,132,AK,2017
112,23,4,110,80,130,AK,2017
113,24,4,73,60,122,AK,2017
114,25,4,80,68,128,AK,2017
115,26,4,71,65,128,AK,2017
116,27,4,91,62,135,AK,2017
117,28,4,66,61,128,AK,2017
118,29,4,103,82,142,AK,2017
119,30,4,84,75,126,AK,2017
120,1,5,82,59,129,AK,2017
121,2,5,96,76,132,AK,2017
122,3,5,126,89,145,AK,2017
123,4,5,128,94,149,AK,2017
124,5,5,158,110,160,AK,2017
125,6,5,194,113,161,AK,2017
126,7,5,138,89,162,AK,2017
127,8,5,118,78,141,AK,2017
128,9,5,102,87,148,AK,2017
129,10,5,122,90,169,AK,2017
130,11,5,126,96,168,AK,2017
131,12,5,144,95,177,AK,2017
132,13,5,303,124,196,AK,2017
133,14,5,155,96,191,AK,2017
134,15,5,188,108,197,AK,2017
135,16,5,116,89,186,AK,2017
136,17,5,138,94,187,AK,2017
137,18,5,135,81,186,AK,2017
138,19,5,133,99,198,AK,2017
139,20,5,163,103,203,AK,2017
140,21,5,143,94,190,AK,2017
141,22,5,149,91,205,AK,2017
142,23,5,114,100,203,AK,2017
143,24,5,85,79,201,AK,2017
144,25,5,111,98,205,AK,2017
145,26,5,158,124,210,AK,2017
146,27,5,194,143,225,AK,2017
147,28,5,191,128,216,AK,2017
148,29,5,180,130,216,AK,2017
149,30,5,188,134,212,AK,2017
150,31,5,173,134,217,AK,2017
151,1,6,202,148,240,AK,2017
152,2,6,202,140,234,AK,2017
153,3,6,242,162,231,AK,2017
154,4,6,330,183,229,AK,2017
155,5,6,283,170,227,AK,2017
156,6,6,373,179,224,AK,2017
157,7,6,302,172,231,AK,2017
158,8,6,330,187,219,AK,2017
159,9,6,314,171,230,AK,2017
160,10,6,318,171,221,AK,2017
161,11,6,293,153,220,AK,2017
162,12,6,319,152,214,AK,2017
163,13,6,350,156,209,AK,2017
164,14,6,293,169,216,AK,2017
165,15,6,331,155,221,AK,2017
166,16,6,266,129,208,AK,2017
167,17,6,257,140,205,AK,2017
168,18,6,264,135,202,AK,2017
169,19,6,239,126,206,AK,2017
170,20,6,245,135,203,AK,2017
171,21,6,226,121,204,AK,2017
172,22,6,223,118,203,AK,2017
173,23,6,236,130,215,AK,2017
174,24,6,284,138,203,AK,2017
175,25,6,266,131,214,AK,2017
176,26,6,192,98,195,AK,2017
177,27,6,157,92,183,AK,2017
178,28,6,134,105,202,AK,2017
179,29,6,132,88,193,AK,2017
180,30,6,88,73,191,AK,2017
181,1,7,119,79,188,AK,2017
182,2,7,91,80,183,AK,2017
183,3,7,94,78,196,AK,2017
184,4,7,106,89,190,AK,2017
185,5,7,78,81,177,AK,2017
186,6,7,115,85,185,AK,2017
187,7,7,105,83,179,AK,2017
188,8,7,89,79,181,AK,2017
189,9,7,132,97,199,AK,2017
190,10,7,116,78,196,AK,2017
191,11,7,106,88,184,AK,2017
192,12,7,118,77,190,AK,2017
193,13,7,118,86,196,AK,2017
194,14,7,102,72,166,AK,2017
195,15,7,115,89,191,AK,2017
196,16,7,105,80,171,AK,2017
197,17,7,104,79,178,AK,2017
198,18,7,95,62,171,AK,2017
199,19,7,87,72,164,AK,2017
200,20,7,110,87,186,AK,2017
201,21,7,104,78,174,AK,2017
202,22,7,114,84,193,AK,2017
203,23,7,85,76,172,AK,2017
204,24,7,88,60,181,AK,2017
205,25,7,82,65,155,AK,2017
206,26,7,83,63,174,AK,2017
207,27,7,113,77,172,AK,2017
208,28,7,68,66,173,AK,2017
209,29,7,123,93,180,AK,2017
210,30,7,106,75,175,AK,2017
211,31,7,90,62,179,AK,2017
212,1,8,70,64,176,AK,2017
213,2,8,86,59,143,AK,2017
214,3,8,99,69,150,AK,2017
215,4,8,102,68,168,AK,2017
216,5,8,76,72,158,AK,2017
217,6,8,82,66,146,AK,2017
218,7,8,56,54,141,AK,2017
219,8,8,61,48,129,AK,2017
220,9,8,49,45,151,AK,2017
221,10,8,66,53,151,AK,2017
222,11,8,60,47,161,AK,2017
223,12,8,70,58,167,AK,2017
224,13,8,65,52,150,AK,2017
225,14,8,73,47,151,AK,2017
226,15,8,74,54,157,AK,2017
227,16,8,70,51,170,AK,2017
228,17,8,74,57,181,AK,2017
229,18,8,76,61,172,AK,2017
230,19,8,85,67,181,AK,2017
231,20,8,77,67,187,AK,2017
232,21,8,83,71,169,AK,2017
233,22,8,98,70,178,AK,2017
234,23,8,81,61,166,AK,2017
235,24,8,69,60,167,AK,2017
236,25,8,62,62,157,AK,2017
237,26,8,80,67,175,AK,2017
238,27,8,82,70,178,AK,2017
239,28,8,62,60,150,AK,2017
240,29,8,86,69,164,AK,2017
241,30,8,76,60,158,AK,2017
242,31,8,68,58,160,AK,2017
243,1,9,69,60,174,AK,2017
244,2,9,90,74,171,AK,2017
245,3,9,109,77,178,AK,2017
246,4,9,99,73,179,AK,2017
247,5,9,61,57,147,AK,2017
248,6,9,61,63,147,AK,2017
249,7,9,80,68,169,AK,2017
250,8,9,64,53,142,AK,2017
251,9,9,92,68,171,AK,2017
252,10,9,79,54,151,AK,2017
253,11,9,71,54,154,AK,2017
254,12,9,59,54,150,AK,2017
255,13,9,87,50,164,AK,2017
256,14,9,73,47,136,AK,2017
257,15,9,59,46,138,AK,2017
258,16,9,66,51,152,AK,2017
259,17,9,80,47,151,AK,2017
260,18,9,77,47,149,AK,2017
261,19,9,65,50,149,AK,2017
262,20,9,50,38,138,AK,2017
263,21,9,52,42,122,AK,2017
264,22,9,26,30,125,AK,2017
265,23,9,52,38,140,AK,2017
266,24,9,53,44,140,AK,2017
267,25,9,43,38,124,AK,2017
268,26,9,41,31,137,AK,2017
269,27,9,49,31,122,AK,2017
270,28,9,36,34,119,AK,2017
271,29,9,50,38,137,AK,2017
272,30,9,63,53,145,AK,2017
273,1,10,55,49,144,AK,2017
274,2,10,32,32,126,AK,2017
275,3,10,46,42,117,AK,2017
276,4,10,33,34,94,AK,2017
277,5,10,52,34,117,AK,2017
278,6,10,46,36,128,AK,2017
279,7,10,61,49,147,AK,2017
280,8,10,75,46,128,AK,2017
281,9,10,74,45,109,AK,2017
282,10,10,40,31,98,AK,2017
283,11,10,31,25,116,AK,2017
284,12,10,26,23,104,AK,2017
285,13,10,30,34,106,AK,2017
286,14,10,57,40,113,AK,2017
287,15,10,40,38,119,AK,2017
288,16,10,24,23,75,AK,2017
289,17,10,29,30,101,AK,2017
290,18,10,29,27,87,AK,2017
291,19,10,27,32,96,AK,2017
292,20,10,18,22,83,AK,2017
293,21,10,33,29,94,AK,2017
294,22,10,35,29,95,AK,2017
295,23,10,21,20,74,AK,2017
296,24,10,28,21,70,AK,2017
297,25,10,23,21,76,AK,2017
298,26,10,18,17,62,AK,2017
299,27,10,14,19,79,AK,2017
300,28,10,45,30,85,AK,2017
301,29,10,35,25,61,AK,2017
302,30,10,27,19,70,AK,2017
303,31,10,38,23,70,AK,2017
304,1,11,36,26,85,AK,2017
305,2,11,23,22,73,AK,2017
306,3,11,21,20,61,AK,2017
307,4,11,37,28,90,AK,2017
308,5,11,23,22,71,AK,2017
309,6,11,21,22,56,AK,2017
310,7,11,29,23,73,AK,2017
311,8,11,43,27,79,AK,2017
312,9,11,45,23,58,AK,2017
313,10,11,22,20,79,AK,2017
314,11,11,35,24,73,AK,2017
315,12,11,27,28,88,AK,2017
316,13,11,26,23,73,AK,2017
317,14,11,17,25,71,AK,2017
318,15,11,20,22,67,AK,2017
319,16,11,24,23,69,AK,2017
320,17,11,13,19,50,AK,2017
321,18,11,52,25,87,AK,2017
322,19,11,27,21,95,AK,2017
323,20,11,22,21,84,AK,2017
324,21,11,22,21,60,AK,2017
325,22,11,33,25,86,AK,2017
326,23,11,31,30,89,AK,2017
327,24,11,27,21,76,AK,2017
328,25,11,31,29,78,AK,2017
329,26,11,31,30,84,AK,2017
330,27,11,14,14,63,AK,2017
331,28,11,21,20,82,AK,2017
332,29,11,18,20,64,AK,2017
333,30,11,25,20,73,AK,2017
334,1,12,16,18,56,AK,2017
335,2,12,31,21,73,AK,2017
336,3,12,25,24,86,AK,2017
337,4,12,16,16,54,AK,2017
338,5,12,10,11,32,AK,2017
339,6,12,20,17,72,AK,2017
340,7,12,20,20,71,AK,2017
341,8,12,13,14,37,AK,2017
342,9,12,28,24,66,AK,2017
343,10,12,29,25,69,AK,2017
344,11,12,14,16,58,AK,2017
345,12,12,24,17,56,AK,2017
346,13,12,33,15,77,AK,2017
347,14,12,27,22,74,AK,2017
348,15,12,36,21,74,AK,2017
349,16,12,97,56,106,AK,2017
350,17,12,56,33,72,AK,2017
351,18,12,38,26,85,AK,2017
352,19,12,28,23,66,AK,2017
353,20,12,20,19,39,AK,2017
354,21,12,30,26,59,AK,2017
355,22,12,20,17,47,AK,2017
356,23,12,23,23,57,AK,2017
357,24,12,31,30,74,AK,2017
358,25,12,27,31,64,AK,2017
359,26,12,27,24,63,AK,2017
360,27,12,27,23,57,AK,2017
361,28,12,25,22,68,AK,2017
362,29,12,25,24,61,AK,2017
363,30,12,28,24,73,AK,2017
364,31,12,27,26,72,AK,2017
0,1,1,55,46,70,AK,2017
1,2,1,54,40,75,AK,2017
2,3,1,34,28,62,AK,2017
3,4,1,34,34,88,AK,2017
4,5,1,36,25,75,AK,2017
5,6,1,23,24,69,AK,2017
6,7,1,49,33,75,AK,2017
7,8,1,34,33,84,AK,2017
8,9,1,31,27,89,AK,2017
9,10,1,21,22,70,AK,2017
10,11,1,29,22,73,AK,2017
11,12,1,42,30,65,AK,2017
12,13,1,23,18,40,AK,2017
13,14,1,31,35,67,AK,2017
14,15,1,37,30,66,AK,2017
15,16,1,19,16,54,AK,2017
16,17,1,32,27,73,AK,2017
17,18,1,24,26,80,AK,2017
18,19,1,21,24,59,AK,2017
19,20,1,23,22,66,AK,2017
20,21,1,33,26,75,AK,2017
21,22,1,36,32,75,AK,2017
22,23,1,24,23,63,AK,2017
23,24,1,16,18,55,AK,2017
24,25,1,14,14,57,AK,2017
25,26,1,18,18,52,AK,2017
26,27,1,29,25,63,AK,2017
27,28,1,27,26,60,AK,2017
28,29,1,32,30,77,AK,2017
29,30,1,18,18,63,AK,2017
30,31,1,35,30,72,AK,2017
31,1,2,29,27,84,AK,2017
32,2,2,18,19,65,AK,2017
33,3,2,20,16,63,AK,2017
34,4,2,45,29,75,AK,2017
35,5,2,28,30,79,AK,2017
36,6,2,16,16,52,AK,2017
37,7,2,21,18,45,AK,2017
38,8,2,39,28,81,AK,2017
39,9,2,21,22,58,AK,2017
40,10,2,14,16,50,AK,2017
41,11,2,37,26,64,AK,2017
42,12,2,42,35,62,AK,2017
